Name,Age,Department,Salary
Quincy,58,Legal,64769
Xander,46,Operations,79604
Frank,44,R&D,88645
Hannah,25,HR,61634
Leo,42,IT,69256
Frank,63,Finance,100789
Wendy,37,Sales,53274
Sam,33,Legal,108161
Quincy,59,Operations,67037
Ivy,55,Legal,115548
Wendy,37,Finance,72983
Vince,35,R&D,85214
Wendy,39,Customer Service,45215
Grace,42,Operations,85516
Paul,54,Operations,66087
Zane,63,HR,78788
Xander,47,Operations,91925
Bob,32,Finance,77537
Bob,39,R&D,110676
Nina,41,HR,108195
Paul,26,IT,92875
Bob,23,Operations,79882
Tina,22,Operations,69702
David,48,Sales,93296
Sam,28,Sales,109250
Nina,34,IT,49755
Wendy,28,Engineering,113739
Wendy,61,IT,54971
Tina,64,Engineering,68988
Vince,32,Finance,86927
Paul,60,Sales,79592
Zane,32,Engineering,65701
Frank,41,Customer Service,119640
Grace,42,IT,114838
Uma,26,Customer Service,89539
Oscar,37,Sales,42843
Ivy,28,Sales,89441
Jack,48,Operations,59881
Uma,25,HR,98540
Xander,28,R&D,79575
Grace,28,Customer Service,110818
Xander,61,Operations,67032
Uma,23,Marketing,54509
Kathy,46,HR,95960
Oscar,40,Finance,77324
Eva,28,R&D,49112
Hannah,65,Legal,64126
Zane,22,Finance,60316
Rita,53,Engineering,76976
Mona,35,HR,80193
Zane,58,Engineering,98013
Paul,31,HR,64799
Leo,44,Sales,61489
Wendy,42,Engineering,74146
Nina,41,Operations,41699
Eva,46,Engineering,96142
David,54,R&D,65914
Wendy,59,IT,72636
Zane,49,Marketing,110519
Frank,33,R&D,92184
Quincy,54,R&D,65524
Grace,52,IT,98461
Jack,65,Sales,41577
Zane,63,Operations,57714
Oscar,32,Engineering,77680
Tina,41,HR,51425
Leo,55,Operations,61592
Bob,54,Marketing,61939
Rita,63,Operations,46248
Tina,62,Customer Service,62446
Xander,31,Marketing,111240
Nina,43,HR,115354
Oscar,59,R&D,110692
Leo,64,Operations,99671
Jack,42,Marketing,49641
Paul,64,Operations,81515
Alice,27,Marketing,74346
Sam,52,HR,66529
Yara,37,R&D,79421
Uma,35,HR,102659
David,40,Legal,100115
Grace,52,HR,79992
Nina,28,Finance,60919
Wendy,58,Finance,56365
Quincy,22,R&D,70846
Charlie,22,HR,55953
Jack,50,Customer Service,83078
Ivy,24,Finance,67073
Charlie,56,Legal,92090
David,24,Finance,59740
Grace,35,Marketing,108044
Yara,42,IT,98551
David,22,Engineering,47270
Paul,55,Customer Service,100154
Frank,44,IT,40917
Nina,43,Operations,93729
Jack,33,IT,66729
Xander,27,IT,65474
Hannah,34,Finance,82995
Vince,46,Marketing,80442
Yara,32,Sales,61366
Sam,53,HR,62187
Wendy,41,Sales,64776
Leo,27,R&D,57948
Jack,54,Operations,110329
Oscar,64,IT,104849
Charlie,45,Sales,103291
Sam,63,HR,90180
Xander,41,Finance,104640
Zane,60,Marketing,59324
